'id_car_characteristic','name','id_parent','date_create','date_update','id_car_type'
'1','Кузов',NULL,'1398983409','1464211790','1'
'2','Тип кузова','1','1398983409','1446624002','1'
'4','Количество мест','1','1398983409','1446624003','1'
'5','Длина','1','1398983409','1446624003','1'
'6','Ширина','1','1398983409','1446624003','1'
'7','Высота','1','1398983409','1446624003','1'
'8','Колёсная база','1','1398983409','1464216277','1'
'9','Колея передняя','1','1398983409','1446624003','1'
'10','Колея задняя','1','1398983409','1446624003','1'
'11','Двигатель',NULL,'1398983409','1446624003','1'
'12','Тип двигателя','11','1398983409','1446624004','1'
'13','Объем двигателя','11','1398983409','1446624004','1'
'14','Мощность двигателя','11','1398983409','1464213794','1'
'15','Обороты максимальной мощности','11','1398983409','1464213827','1'
'16','Максимальный крутящий момент','11','1398983409','1462469007','1'
'17','Тип впуска','11','1398983409','1464214844','1'
'19','Расположение цилиндров','11','1398983409','1446624005','1'
'20','Количество цилиндров','11','1398983409','1446624005','1'
'22','Марка топлива','31','1398983410','1462406784','1'
'23','Трансмиссия и управление',NULL,'1398983410','1464211642','1'
'24','Тип КПП','23','1398983410','1446624008','1'
'26','Количество передач','23','1398983410','1427137980','1'
'27','Привод','23','1398983410','1464215754','1'
'1549','Общая информация',NULL,'1462398820','1462395600','1'
'29','Передние тормоза','40','1398983410','1446624009','1'
'30','Задние тормоза','40','1398983410','1446621088','1'
'31','Эксплуатационные показатели',NULL,'1398983410','1446621089','1'
'32','Максимальная скорость','31','1398983410','1446621068','1'
'33','Разгон до 100 км/ч','31','1398983410','1462471638','1'
'34','Снаряженная масса','1','1398983410','1446621089','1'
'35','Объём топливного бака','31','1398983410','1446621089','1'
'37','Экологический стандарт','31','1398983410','1464213039','1'
'38','Дорожный просвет','1','1398984605','1446624003','1'
'39','Количество клапанов на цилиндр','11','1398984605','1464215387','1'
'40','Подвеска и тормоза',NULL,'1398984605','1446624008','1'
'41','Передняя подвеска','40','1398984605','1464218670','1'
'42','Задняя подвеска','40','1398984605','1464218686','1'
'44','Объем багажника максимальный','1','1398984608','1446621073','1'
'45','Объем багажника минимальный','1','1398984608','1446621083','1'
'46','Тип наддува','11','1398984608','1462407102','1'
'47','Диаметр цилиндра','11','1398984608','1427137982','1'
'48','Ход поршня','11','1398984608','1427137982','1'
'50','Расход топлива в городе на 100 км','31','1398984608','1462472278','1'
'51','Расход топлива на шоссе на 100 км','31','1398984608','1462472301','1'
'52','Расход топлива в смешанном цикле на 100 км','31','1398984611','1462472318','1'
'53','Рулевое управление',NULL,'1398985514','1446621088','1'
'57','Диаметр разворота','23','1398989710','1446620964','1'
'58','Полная масса','1','1398991812','1462471362','1'
'62','Запас хода','31','1399122086','1446577601','1'
'1550','Объём и масса',NULL,'1462398870','1462395600','1'
'1551','Безопасность',NULL,'1462400593','1462395600','1'
'1564','Обороты максимального крутящего момента','11','1464214445',NULL,'1'
'1565','Грузоподъёмность','1','1464218477',NULL,'1'
'1566','Наличие интеркулера','11','1464300165',NULL,'1'
'1567','Разрешённая масса автопоезда','1','1464300461',NULL,'1'
'1568','Нагрузка на переднюю/заднюю ось','1','1464300795',NULL,'1'
'1569','Погрузочная высота','1','1464378056',NULL,'1'
'1570','Грузовой отсек (Длина x Ширина x Высота)','1','1464378606',NULL,'1'
'1571','Объём грузового отсека','1','1464378665',NULL,'1'
